Название;Место;Дата проведения;Организатор;Ссылка
Japan Radiological Congress (JRC) 2021 - радиологический конгресс (оффлайн+ онлайн);Япония, Йокогама , PACIFICO Yokohama; с 15 по 18 апреля ;Japan Medical Imaging and Radiological Systems Industries Association;https://expomap.ru/conference/japan-radiological-congress-jrc-2021/
HPCO Conference 2021 - конференция по здравоохранению;Онлайн, Веб; с 18 по 20 апреля ;Hospice Palliative Care Ontario;https://expomap.ru/conference/hpco-conference-2021/
Фармацевтика. Адаптация регионов к мировым изменениям 2021 - конференция (оффлайн+онлайн);Россия, Новосибирск , Domina Novosibirsk Hotel; 20 апреля 2021 ;ИД «Коммерсантъ-Сибирь»;https://expomap.ru/conference/farmatsevtika-adaptatsija-regionov-k-mirovym-izmenenijam-2021/
Eurosime 2021 - международная конференция по тепловому, механическому и мультифизическому моделированию и экспериментам в микроэлектронике и микросистемах;Онлайн, Веб; с 19 по 21 апреля ;Astefo sarl;https://expomap.ru/conference/eurosime-2021/
MedTech Summit 2021 - выставка медицинских технологий;Онлайн, Веб , Messezentrum; с 20 по 22 апреля ;UBM Canon;https://expomap.ru/conference/medtech-summit-2021/
Insure NXT | CGN 2021 - международная конференция страховой индустрии;Онлайн, Веб; с 21 по 22 апреля ;InsurLab Germany, Koelnmesse;https://expomap.ru/conference/insure-nxt-cgn-2021/
OPIС Congress 2021 - международный конгресс по оптике и фотонике (оффлайн+онлайн);Япония, Йокогама; с 19 по 22 апреля ;OPTICS & PHOTONICS INTERNATIONAL Council;https://expomap.ru/conference/opis-congress-2021/
Japan LNG & Gas Summit 2021 - саммит по СПГ;Япония, Токио; с 2 по 3 февраля с 20 по 22 апреля ;dmg events;https://expomap.ru/conference/japan-lng-gas-summit-2021/
Seymartec Milk Production. Экономическая эффективность переработки молока и технологические инновации 2020 - международный форум;Россия, Москва , Отель Ренессанс Москва Монарх Центр; 9 декабря 2020 22 апреля 2021 ;ООО «Сеймартек»;https://expomap.ru/conference/seymartec-milk--production-2020/
Blockchain Life 2021 - международный форум по блокчейну, криптовалюте и майнингу;Россия, Москва , Music Media Dome; с 21 по 22 апреля ;Listing.help;https://expomap.ru/conference/blockchain-life-2021/
SEYMARTEC MILK. Экономическая и технологическая эффективность молочного животноводства и переработки молока 2021 - международный форум;Россия, Москва , отель Ренессанс Москва Монарх Центр; 10 февраля 2021 22 апреля 2021 ;ООО «Сеймартек»;https://expomap.ru/conference/seymartec-milk-econ-tech-efficency-2021/
Налоговое планирование в ритейле 2021 - конференция по налогам;Россия, Москва; 22 апреля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/nalogovoe-planirovanie-v-ritejle-2021/
Independent Planner Education Conference (IPEC) 2021 - образовательная конференция специалистов индустрии встреч;США, Луисвилл , Omni Louisville Hotel; с 27 по 30 января с 21 по 23 апреля ;Northstar Meetings Group;https://expomap.ru/conference/independent-planner-education-conference-ipec-2021/
Rigas Sporta Sumits / Рижский саммит спорта 2021 - конференция для вдохновения и роста специалистов, энтузиастов спорта и сторонников здорового образа жизни;Латвия, Рига; 23 апреля 2021 ;International Exhibition Company BT 1 Ltd.;https://expomap.ru/conference/rigas-sporta-sumits-rizhskij-sammit-sporta-2021/
Санкт-Петербургский Международный Форум Труда 2021 - форум;"Россия, Санкт-Петербург , КВЦ ""Экспофорум"""; с 22 по 23 апреля ;ЭкспоФорум-Интернэшнл;https://expomap.ru/conference/sankt-peterburgskij-mezhdunarodnyj-forum-truda-2021/
ТЭФ 2021 - татарстанский международный форум по энергоресурсоэффективности и экологии;Россия, Казань , Казанская ярмарка; с 21 по 23 апреля ;"ОАО ""Казанская ярмарка""";https://expomap.ru/conference/tef-2021/
Российский международный энергетический форум (РМЭФ) 2021 - отраслевой конгресс и выставка;Россия, Санкт-Петербург , Экспофорум; с 21 по 23 апреля ;ЭкспоФорум-Интернэшнл;https://expomap.ru/conference/rossijskij-mezhdunarodnyj-energeticheskij-forum-rmef-2021/
Крепеж. Качество и ответственность 2021 - международная конференция (оффлайн+онлайн);Россия, Санкт-Петербург , Экспофорум; с 22 по 23 апреля ;ООО «Рестэк»;https://expomap.ru/conference/krepezh-kachestvo-i-otvetstvennost-2021/
Амбулаторно-поликлиническая помощь в эпицентре женского здоровья от менархе до менопаузы 2021 - всероссийский конгресс с международным участием и специализированной экспозицией;Россия, Москва , ФГБУ «НМИЦ АГП им. В.И. Кулакова» Минздрава России; с 21 по 23 апреля ;Mediexpo;https://expomap.ru/conference/ambulatorno-poliklinicheskaja-pomosch-v-epitsentre-zhenskogo-zdorovja-ot-menarhe-do-menopauzy-2021/
Информационные технологии в бюджетировании 2021 - конференция;Россия, Москва; 23 апреля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/informatsionnyie-tehnologii-v-byudzhetirovanii-2021/
Hillsong Colour Conference Cape Town 2021 - всемирная женская конференция;Южно-Африканская Республика, Кейптаун; с 21 по 24 апреля ;Hillsong;https://expomap.ru/conference/hillsong-colour-conference-cape-town-2021/
Российские дни сердца 2021 - международный образовательный форум в области кардиологии;Россия, Санкт-Петербург , ФГБУ «НМИЦ им. В.А. Алмазова» Минздрава России; с 22 по 24 апреля ;Российское кардиологическое общество;https://expomap.ru/conference/rossijskie-dni-serdtsa-2021/
Congress of the ESPU 2021 - конгресс детских урологов;Португалия, Лиссабон , Lisbon Congress Center (CCL); с 21 по 24 апреля ;ESPU;https://expomap.ru/conference/congress-of-the-espu-2021/
Новые горизонты в челюстно лицевой хирургии. Киев - Марбург 2021 - международная конференция по челюстно-лицевой хирургии;Украина, Киев , Премьер отель Русь; с 23 по 24 апреля ;Medeuroindex;https://expomap.ru/conference/new-horizons-in-maxillofacial-surgery-kyiv-marburg-2021/
Боткинские чтения 2021 - всероссийский терапевтический конгресс с международным участием;Россия, Санкт-Петербург; с 23 по 24 апреля ;Общественная организация «Человек и его здоровье»;https://expomap.ru/conference/botkinskie-chtenija-2021/
EHRA Europace-Cardiostim 2021 - европейская конференция по сердечным аритмиям;Онлайн, Веб; с 28 по 30 марта с 23 по 25 апреля ;European Heart Rhythm Association (EHRA);https://expomap.ru/conference/ehra-europace-cardiostim-2021/
Toronto Naturopathic Conference 2021 - образовательная конференция для врачей-натуропатов;Онлайн, Веб; с 24 по 25 апреля ;Collaborative Education;https://expomap.ru/conference/toronto-naturopathic-conference-2021/
Политика и культура 2021 - международная научно-практическая конференция;Венгрия, Будапешт; с 24 по 26 апреля ;Венгеро-российский культурно-просветительский фонд «Dialogоrum»;https://expomap.ru/conference/politika-i-kultura-2021/
IPQuorum 2021. Tech for Content - форум по развитию креативных индустрий и мира интеллектуальной собственности;Россия, Москва , Инновационный центр «Сколково», ТЕХНОПАРК Большой бульвар, 42; с 26 по 27 апреля ;IPQuorum;https://expomap.ru/conference/ipquorum-2021-tech-for-content/
CEVC 2021 - ветеринарный конгресс;Чехия, Брно , Brno Exhibition Centre; с 27 по 28 апреля Новые даты не анонсированы;BVV Trade Fairs Brno;https://expomap.ru/conference/cevc-2021/
Фармапак 2021 - международный фармацевтический конгресс и выставка;"Россия, Москва , ЦВК ""Экспоцентр"""; с 26 по 28 апреля ;АО «Промис»;https://expomap.ru/conference/farmapak-2021/
British Society for Rheumatology Conference 2021 - конференция по ревматологии;Онлайн, Веб; с 26 по 28 апреля ;British Society for Rheumatology;https://expomap.ru/conference/british-society-for-rheumatology-conference-2021/
MRO Latin America 2021 - конференция по техобслуживанию в коммерческой авиации;США, Орландо; с 27 по 28 апреля ;InformaMarkets;https://expomap.ru/conference/mro-latin-america-2021/
Battery Experts Forum 2021 - конференция по аккумуляторам и технологиям зарядки;Германия, Франкфурт , Forum Messe Frankfurt; с 27 по 29 апреля ;Batteryuniversity GmbH;https://expomap.ru/conference/battery-experts-forum-2021/
Neuromarketing Kongress 2021 - конференция по нейромаркетингу;Германия, Мюнхен , Auditorium der BMW Welt; 29 апреля 2021 ;die Haufe Group und die Gruppe Nymphenburg;https://expomap.ru/conference/neuromarketing-kongress-2021/
International Powder & Bulk Solids 2021 - конференция и выставка производителей порошков и сыпучих материалов;США, Роузмонт , Donald E. Stephens Convention Center; с 27 по 29 апреля ;InformaMarkets;https://expomap.ru/conference/international-powder-bulk-solids-2021/
Заболевание ВНЧС в каждодневной практике врача 2021 - стоматологическая конференция;Россия, Воронеж , Стоматологическая поликлиника (Проспект революции 14, 3 этаж); 29 апреля 2021 ;Учебный центр АртДенталь;https://expomap.ru/conference/zabolevanie-vnchs-v-kazhdodnevnoj-praktike-vracha-2021/
Международное налоговое планирование 2021 - конференция;Россия, Москва; 29 апреля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/mezhdunarodnoe-nalogovoe-planirovanie-2021/
EuroSpine Spring 2021 - конференция ортопедов и невропатологов;Германия, Франкфурт , Radisson Blu Hotel Frankfurt; с 29 по 30 апреля ;EUROSPINE;https://expomap.ru/conference/eurospine-spring-2021/
Smartgreens 2021 - конференция по зеленым технологиям;Онлайн, Веб; с 28 по 30 апреля ;INSTICC;https://expomap.ru/conference/smartgreens-2021/
Closer 2021 - международная конференция по облачным технологиям и услугам;Онлайн, Веб; с 28 по 30 апреля ;INSTICC;https://expomap.ru/conference/closer-2021/
VCOS Symposium in the Spring Minneapolis 2021 - конференция по пожарной безопасности;США, Миннеаполис; с 6 по 8 мая ;International Ass. of Fire Chiefs;https://expomap.ru/conference/vcos-symposium-in-the-spring-minneapolis-2021/
Medicines for Europe and IGBA Conference 2021 - конференция «Лекарственные средства для Европы»;Греция, Афины , Divani Apollon Hotel; 8 июня 2021 ;Medicines For Europe;https://expomap.ru/conference/medicines-for-europe-and-igba-conference-2021/
Hebammenkongress 2021 - конгресс немецкой ассоциации акушерок;Онлайн, Веб; с 10 по 12 мая ;Deutschen Hebammenverband e.V.;https://expomap.ru/conference/hebammenkongress-2021/
Routes Europe 2021 - конференция по разработке авиационных маршрутов;Норвегия, Берген; с 10 по 12 мая ;Routes;https://expomap.ru/conference/routes-europe-2021/
ICCX Western Europe 2021 - международная конференция и выставка по бетону;Германия, Бонн; с 11 по 12 мая ;Ad media GmbH Germany;https://expomap.ru/conference/iccx-western-europe-2021/
Digital Marketing Solutions Summit 2021 - саммит цифровых маркетинговых решений (оффлайн+онлайн);Великобритания, Лондон , Hilton London Canary Wharf; 13 мая 2021 ;Forum Events Ltd;https://expomap.ru/conference/digital-marketing-solutions-summit-2021/
Patient Safety 2021 - международная медицинская конференция и выставка;США, Сан-Диего; с 11 по 13 мая ;Informa Connect UAE;https://expomap.ru/conference/patient-safety-2021/
American Geriatrics Society (AGS) Meeting 2021 - ежегодное научное собрание американского гериатрического общества;Онлайн, Веб; с 13 по 15 мая ;American Geriatrics Society All Rights Reserved;https://expomap.ru/conference/american-geriatrics-society-ags-meeting-2021/
Brazilian Congress of Cataract and Refractive Surgery 2021 - бразильский конгресс по катаракте и рефракционной хирургии;Бразилия, Салвадор; с 12 по 15 мая ;Alvo Eventos Ltda;https://expomap.ru/conference/brazilian-congress-of-cataract-and-refractive-surgery-2021/
ACC 2021 - ежегодная научная сессия Американского колледжа кардиологии;США, Атланта; с 20 по 22 марта с 15 по 17 мая ;American College of Cardiology;https://expomap.ru/conference/acc-2021/
WealthPro Russia Moscow 2021 - международная B2C конференция и выставка;Россия, Москва , Moscow Marriott Grand; с 17 по 18 мая ;Bosco Conference;https://expomap.ru/conference/wealthpro-russia-moscow-2021/
Эффективное управление финансами в холдингах 2021 - конференция;Россия, Москва; 18 мая 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/effektivnoe-upravlenie-finansami-v-holdingah-2021/
SMX London 2021 - конференция по поисковому маркетингу и технологиям поиска;Великобритания, Лондон; с 18 по 19 мая ;Search Engine Land  &  Marketing Land;https://expomap.ru/conference/smx-london-2021/
Актуальные вопросы высокотехнологичной помощи в терапии 2021 - научно-практическая конференция;Россия, Санкт-Петербург , Отель «Санкт-Петербург»; с 20 по 21 мая ;SmartPharm;https://expomap.ru/conference/aktualnyie-voprosyi-vyisokotehnologichnoj-pomoschi-v-terapii-2021/
Analyst Days 2021 - международная конференция по системному и бизнес-анализу;Россия, Санкт-Петербург , Crowne Plaza St.Petersburg Airport; с 21 по 22 мая ;IT Conf;https://expomap.ru/conference/analyst-days-2021/
Петербургский международный юридический форум 2021 - форум;Россия, Санкт-Петербург; с 18 по 22 мая ;Министерсто Юстиции РФ, Государственный Эрмитаж, Фонд «Петербургский международный юридический форум»;https://expomap.ru/conference/peterburgskij-mezhdunarodnyj-juridicheskij-forum-2021/
Ранние сроки беременности: от прегравидарной подготовки к здоровой гестации. Проблемы ВРТ 2021 - общероссийский конгресс с международным участием (оффлайн+онлайн);Россия, Москва; с 20 по 22 мая ;StatusPraesens;https://expomap.ru/conference/rannie-sroki-beremennosti-2021/
Australian Pharmacy Professional Conference & Expo 2021 - аптечная конференция и выставка;Австралия, Голд-Кост , Gold Coast Convention and Exhibition Centre; с 20 по 23 мая ;The Pharmacy Guild of Australia;https://expomap.ru/conference/australian-pharmacy-professional-conference-expo-2021/
Showlight 2021 - международная конференция и выставка по светотехнике;Франция, Фонтенбло , Theatre Municipal de Fontainebleau; с 22 по 25 мая ;Showlight c/o PLASA;https://expomap.ru/conference/showlight-2021/
International Conference on Computer Supported Education (CSEDU) 2021 - международная конференция по информационным технологиям в образовании;Онлайн, Веб; с 23 по 25 мая ;INSTICC;https://expomap.ru/conference/international-conference-on-computer-supported-education-csedu-2021/
Asian Downstream Summit 2021 - саммит нефтегазовой отрасли;Сингапур, Сингапур; с 24 по 25 мая ;Clarion Events Pte. Ltd.;https://expomap.ru/conference/asian-downstream-summit-2021/
Экология 2021 - международный форум и выставка;Россия, Москва , Центр международной торговли; с 24 по 25 мая ;"АНО ""Общественный форум ""Экология""";https://expomap.ru/conference/ekologiya-2021/
CISOLAR 2021 - международная конференция и выставка солнечной энергетики Центральной и Восточной Европы;Украина, Киев , Fairmont Grand Hotel Kyiv; 25 мая 2021 ;IBCentre;https://expomap.ru/conference/cisolar-2021/
Управление дебиторской задолженностью 2021 - конференция;Россия, Москва; 25 мая 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/upravlenie-debitorskoj-zadolzhennostju-2021/
Здоровые дети – будущее страны 2021 - национальный конгресс с международным участием;Россия, Санкт-Петербург , Педиатрический университет; с 26 по 28 мая ;ФГБОУ ВО СПбГПМУ Минздрава РФ;https://expomap.ru/conference/zdorovye-deti-buduschee-strany-2021/
IPTF 2021 - международный полимерно-технологический форум;"Россия, Санкт-Петербург , Отель ""Азимут"""; с 25 по 28 мая ;Журнал ПЛАСТИКС, Журнал ЭКСТРУЗИЯ;https://expomap.ru/conference/iptf-2021/
Повышение эффективности корпоративных бизнес-процессов. Фокус на операционную эффективность 2021 - конференция;Россия, Москва; с 27 по 28 мая ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/povyishenie-effektivnosti-korporativnyih-biznes-protsessov-2021/
Форум имени Вильгельма Столля 2021 - предпринимательский форум и премия;Россия, Воронеж , Центральный парк; 28 мая 2021 ;ГС «Лидер»;https://expomap.ru/conference/forum-stollja-2021/
Компрессорные технологии 2021 - международная промышленная конференция;Россия, Санкт-Петербург; с 26 по 28 мая ;"Кафедра ""Компрессорная, вакуумная и холодильная техника""";https://expomap.ru/conference/kompressornye-tehnologii-2021/
Canadian Conference on Physician Leadership 2021 - конференция по изучению лидерства;Онлайн, Веб; с 26 по 29 мая ;Canadian Society of Physician Leaders;https://expomap.ru/conference/canadian-conference-on-physician-leadership-2021/
women&work 2021 - конгресс молодых женщин-руководителей;Германия, Франкфурт , FORUM Messe Frankfurt; 29 мая 2021 ;AGENTUR ohne NAMEN GmbH;https://expomap.ru/conference/womenwork-2021/
European Academy of Esthetic Dentistry Meeting 2021 - международный конгресс европейской академии эстетической стоматологии;Австрия, Зальцбург , Sheraton Fuschlsee-Salzburg Jagdhof; с 27 по 29 мая ;Mondial Congress & Events,Mondial GmbH & Co KG;https://expomap.ru/conference/european-academy-of-esthetic-dentistry-meeting-2021/
РОСИВЕНТТУР 2021 - национальная конференция и выставка туристической и событийной индустрий;Россия, Алушта , конгресс-отель Riviera Sunrise Resort & SPA; с 27 по 29 мая Новые даты не анонсированы;Международный бизнес-форум SIMBF;https://expomap.ru/conference/rosiventtur-2021/
Спорт. Рыбалка. Охота (СПОРОХ) 2021 - национальная конференция и выставка активного отдыха и спорта;Россия, Алушта , конгресс-отель Riviera Sunrise Resort & SPA; с 27 по 29 мая ;Международный бизнес-форум SIMBF;https://expomap.ru/conference/sport-rybalka-ohota-sporoh-2021/
Действуй! 2021 - общественный форум;Россия, Воронеж , Центральный парк; 29 мая 2021 ;Общественная палата Воронежской области;https://expomap.ru/conference/dejstvuj-2021/
Conference Annual AMMI Canada (CACMID) 2021 - ежегодная конференция по клинической микробиологии и инфекционным заболеваниям;Онлайн, Веб; с 25 апреля по 30 мая ;Association of Medical Microbiology and Infectious Disease Canada;https://expomap.ru/conference/conference-annual-ammi-canada-cacmid-2021/
Annual Australasian Skin Cancer Congress 2021 - международный конгресс по лечению рака кожи;Австралия, Голд-Кост , The Star Gold Coast; с 28 по 30 мая ;Skin Cancer College;https://expomap.ru/conference/annual-australasian-skin-cancer-congress-2021/
VidMK 2021 - форум по видеопроизводству и видеомаркетингу (оффлайн+онлайн);Россия, Москва , Конгресс-центр  «Вега Измайлово»; с 29 по 30 мая ;LV production;https://expomap.ru/conference/vidmk-2021/
EUROGIN 2021 - международный медицинский конгресс (оффлайн+онлайн);Германия, Дюссельдорф; с 30 мая по 1 июня ;InformaMarkets;https://expomap.ru/conference/eurogin-2021/
MCE Central & Eastern Europe 2021 - международный форум для организаторов деловых событий и event-менеджеров;Венгрия, Будапешт; с 30 мая по 1 июня ;Europe Congress;https://expomap.ru/conference/mce-central-eastern-europe-2021/
NOIA Conference 2021 - конференция канадской нефтегазовой ассоциации;Канада, Сент-Джонс , St. John’s Convention Centre; с 31 мая по 2 июня ;dmg events;https://expomap.ru/conference/noia-conference-2021/
Seamless North Africa 2021 - международная финансовая конференция;Египет, Каир , Egypt International Exhibition Center; с 3 по 4 февраля с 1 по 2 июня ;Terrapinn Holdings Ltd.;https://expomap.ru/conference/seamless-north-africa-2021/
ATM Security 2021 - конференция и выставка по безопасности банкоматов;Турция, Стамбул , Radisson Blu Hotel; с 1 по 2 июня ;ATMINSEC Turkey;https://expomap.ru/conference/atm-security-2021/
World Potato Congress (WPC) Dublin 2022 - всемирный картофельный конгресс;Ирландия, Дублин , Convention Centre Dublin; с 30 мая по 2 июня ;World Potato Congress Inc.;https://expomap.ru/conference/world-potato-congress-wpc-dublin-2022/
Lean Start Forum 2021 - конференция;Россия, Москва , Кампус Сколково; с 1 по 2 июня ;Центр Инновационного Обучения и Развития;https://expomap.ru/conference/lean-start-forum-2021/
World Potato Congress (WPC) Dublin 2021 - всемирный картофельный конгресс;Ирландия, Дублин , Convention Centre Dublin; с 31 мая по 3 июня ;World Potato Congress Inc.;https://expomap.ru/conference/world-potato-congress-wpc-dublin-2021/
Caspian Oil & Gas Conference 2021 - mеждународная конференция «Нефть и Газ Каспия»;Азербайджан, Баку , Boulevard Hotel Baku; с 2 по 3 июня ;Caspian Event Organisers;https://expomap.ru/conference/caspian-oil-gas-conference-2021/
Сады России 2021 - международный инвестиционный форум и выставка;Россия, Москва; с 2 по 3 июня ;Vostock Capital;https://expomap.ru/conference/sady-rossii-2021/
Global Connected Aircraft Summit 2021 - всемирный авиационный саммит;США, Денвер , Hilton Denver City Center; с 2 по 3 июня ;Access Intelligence, LLC.;https://expomap.ru/conference/global-connected-aircraft-summit-2021/
European Association of Geoscientists and Engineers (EAGE) Conference & Exhibition 2021 - международная геолого-геофизическая конференция;Испания, Мадрид , IFEMA Feria de Madrid; с 31 мая по 3 июня ;European Association of Geoscientists and Engineers(EAGE) Netherlands;https://expomap.ru/conference/european-association-of-geoscientists-and-engineers-eage-conference-exhibition-2021/
International Society for the Study of the Lumbar Spine Meeting 2021 - международная конференция по изучению поясничного отдела позвоночника;Италия, Милан; с 31 мая по 4 июня ;Institute of Clinical Sciences Sahlgrenska Academy;https://expomap.ru/conference/international-society-for-the-study-of-the-lumbar-spine-meeting-2021/
International Summer Conference on Computer and Information Science (ICIS) Summer 2021 - международная летняя конференция по информатике и вычислительной технике;Китай, Шанхай , Pine City Hotel; с 2 по 4 июня ;International Association for Computer and Information Science (ACIS);https://expomap.ru/conference/international-summer-conference-on-computer-and-information-science-icis-summer-2021/
International Conference of Artificial Intelligence (IAI) 2021 - международная конференция по искусственному интеллекту;Китай, Шанхай , Pine City Hotel; с 2 по 4 июня ;International Association for Computer and Information Science (ACIS);https://expomap.ru/conference/international-conference-of-artificial-intelligence-iai-2021/
HI Design Europe 2021 - европейский форум индустрии гостеприимства;Испания, Мадрид; с 2 по 4 июня ;DMG Events;https://expomap.ru/conference/hi-design-europe-2021/
Routes Asia 2021 - международный форум по развитию транспортных маршрутов в Азии;Таиланд, Чиангмай; с 2 по 4 июня ;InformaMarkets;https://expomap.ru/conference/routes-asia-2021/
Неделя Ритейла 2021 - международный форум бизнеса и власти;Россия, Москва , Центр Международной торговли; с 31 мая по 4 июня ;Министерство промышленности и торговли РФ, Российская Ассоциация Экспертов Рынка Ритейла;https://expomap.ru/conference/nedelja-ritejla-2021/
Building Green Build For Biodiversity Conference  2021 - конференция по биоразнообразию в архитектуре и строительстве;Дания, Копенгаген; с 3 по 4 июня ;Insight Events ApS;https://expomap.ru/conference/building-green-build-for-biodiversity-conference-2021/
ПроКрахмал: тенденции рынка глубокой переработки зерна 2021 - международная конференция (оффлайн+онлайн);Россия, Москва , отель Courtyard by Marriott Moscow Paveletskaya; 4 июня 2021 ;Ассоциация «Роскрахмалпатока»;https://expomap.ru/conference/prokrahmal-tendentsii-rynka-glubokoj-pererabotki-zerna-2021/
Beinopen 2021 - форум новой модной индустрии;Россия, Москва , Дизайн-завод Флакон; 4 июня 2021 ;Beinopen;https://expomap.ru/conference/beinopen-2021/
Корпоративные системы риск-менеджмента 2021 - конференция;Россия, Москва; с 3 по 4 июня ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/korporativnye-sistemy-risk-menedzhmenta-2021/
Современные психотехнологии в управлении, политике, бизнесе, образовании 2021 - международная научно-практическая конференция;Россия, Одинцово , МГИМО МИД России; с 3 по 4 июня ;Факультет управления и политики Кафедра общей и социальной психологии МГИМО МИД России (Одинцовский филиал);https://expomap.ru/conference/sovremennye-psihotehnologii-v-upravlenii-politike-biznese-obrazovanii-2021/
Корпоративная система безопасности бизнеса 2021 - кейс-форум;Россия, Москва , Отель Mercury Павелецкая; с 3 по 4 июня ;Business Summit of Future;https://expomap.ru/conference/korporativnaja-sistema-bezopasnosti-biznesa-2021/
International Conference on Big Data, Cloud Computing, and Data Science Engineering (BCD) 2021 - международная конференция по большим данным, облачным вычислениям и наукам о данных;Макао, Макао , City University of Macau; с 7 по 9 июня ;International Association for Computer and Information Science (ACIS);https://expomap.ru/conference/international-conference-on-big-data-cloud-computing-and-data-science-engineering-bcd-2021/
Commercial Aviation Suppliers Conference 2021 - конференция поставщиков для коммерческой авиации;США, Беверли-Хиллз; с 2 по 4 марта с 7 по 9 июня ;InformaMarkets;https://expomap.ru/conference/commercial-aviation-suppliers-conference-2021/
Техника и технологии для портов: эффективные инвестиции 2021;Россия, Москва , Аналитический центр при Правительстве РФ; 9 июня 2021 ;Журнал «Морские порты»;https://expomap.ru/conference/tehnika-i-tehnologii-dlja-portov-effektivnye-investitsii-2021/
Портоориентированная Логистика 2021 - конференция;Россия, Москва , Аналитический центр при Правительстве РФ; 9 июня 2021 ;Журнал «Морские порты»;https://expomap.ru/conference/portoorientirovannaja-logistika-2021/
Инфраструктура портов: новое строительство, модернизация, эксплуатация 2021 - форум;Россия, Москва , Аналитический центр при Правительстве РФ; с 8 по 9 июня ;Журнал «Морские порты»;https://expomap.ru/conference/infrastruktura-portov-novoe-stroitelstvo-modernizatsija-ekspluatatsija-2021/
Развитие системы корпоративного обучения и управление знаниями в корпорации 2021 - конференция;Россия, Москва; с 8 по 9 июня ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/razvitie-sistemy-korporativnogo-obuchenija-i-upravlenie-znanijami-v-korporatsii-2021/
Cisco Live! US 2021 - иТ-конференция;США, Лас-Вегас; с 6 по 10 июня ;CISCO;https://expomap.ru/conference/cisco-live-us-2021/
Critical Communications World 2021 - конференция по телекоммуникациям и корпоративным сетям;Испания, Мадрид , IFEMA; с 8 по 10 июня ;Mark Allen Group;https://expomap.ru/conference/critical-communications-world-2021/
Learning Technologies (L&D conference) 2021 - конференция и выставка профессиональной подготовки;Великобритания, Лондон , ExCeL London; с 10 по 11 февраля с 9 по 10 июня ;Closerstill Media;https://expomap.ru/conference/learning-technologies-ld-conference-2021/
OFC 2021 - конференция и выставка оптоволоконных технологий;США, Сан-Франциско , Moscone Center; с 28 марта по 1 апреля с 6 по 10 июня ;OSA;https://expomap.ru/conference/ofc-2021/
Papua New Guinea Energy Summit 2021 - энергетический саммит;Папуа-Новая Гвинея, Порт-Морсби; с 8 по 10 июня ;dmg events;https://expomap.ru/conference/papua-new-guinea-energy-summit-2021/
День технолога 3.0 - онлайн-форум производителей лакокрасочных материалов и сухих строительных смесей;Онлайн, Веб; с 8 по 10 июня ;Aforum;https://expomap.ru/expo-b/click/6593//
Перспективы развития Большого порта Санкт-Петербург 2021 - международная конференция;Россия, Санкт-Петербург , Конгресс-центр «Ленполиграфмаш»; с 9 по 10 июня ;"Журнал ""Вести морского Петербурга"" (ООО ""Морской Петербург"")";https://expomap.ru/conference/perspektivy-razvitija-bolshogo-porta-sankt-peterburg-2021/
Налоговый мониторинг 2021 - конференция;Россия, Москва; 10 июня 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/nalogovyj-monitoring-2021/
Energie-Tage St.Gallen Summer 2021 - конгресс по энергетике;Швейцария, Санкт-Галлен , Olma Messen St.Gallen; 11 июня 2021 ;Genossenschaft Olma Messen St.Gallen;https://expomap.ru/conference/energie-tage-stgallen-summer-2021/
Asian And Oceanian Myology Center Meeting (AOMC) 2021 - симпозиум неврологов;Южная Корея, Пусан; с 10 по 12 июня ;FTC Events;https://expomap.ru/conference/asian-and-oceanian-myology-center-meeting-aomc-2021/
funds excellence 2021 - конференция по финансам и инвестициям;Германия, Франкфурт , Kap Europa; 15 июня 2021 ;funds excellence GmbH;https://expomap.ru/conference/funds-excellence-2021/
Zukunftskongress Staat & Verwaltung 2021 - конференция по административной модернизации и электронному правительству;Германия, Берлин; с 14 по 16 июня ;Wegweiser Media & Conferences GmbH;https://expomap.ru/conference/zukunftskongress-staat-verwaltung-2021/
American Worlds Water Association Annual Conference & Exposition 2021 - международная выставка и конференция по вопросам сохранения чистой питьевой воды;США, Сан-Диего; с 13 по 16 июня ;American Water Works Association USA;https://expomap.ru/conference/american-worlds-water-association-annual-conference-exposition-2021/
Catalysis for Renewable Sources: Fuel, Energy, Chemicals (CRS) 2021 - конференция по каталитической химии;Португалия, Лиссабон , Conference Centre of the Riviera Hotel Carcavelos; с 14 по 16 июня ;Институт катализа СО РАН;https://expomap.ru/conference/catalysis-for-renewable-sources-fuel-energy-chemicals-crs-2021/
Kyiv iGaming Affiliate Conference 2021 - конференция  легализации игорной деятельности;"Украина, Киев , Конференц-холл ""Оазис"""; 16 июня 2021 ;Smile-Expo;https://expomap.ru/conference/kyiv-igaming-affiliate-2021/
Общие центры обслуживания: организация и развитие 2021 - конференция;Россия, Санкт-Петербург; с 16 по 18 июня ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/obschie-tsentryi-obsluzhivaniya-organizatsiya-i-razvitie-2021/
